Estaci贸n,Volumen de muestra,Volumen de agua,Concentraci贸n,Sample 1 (FNU),Sample 2 (FNU),Sample 3 (FNU),Media,BS,SS,,,,,,,,,
0,1000,0,486.0606061,924,921,923,922.6666667,295,640,,,,,,,,,
1,1000,250,388.8484848,,,,#DIV/0!,248,496,,Volumen del filtrado:,55,mililitros,,0.1376,0.1352,0.1354,--> M0
2,1000,500,324.040404,564,570,562,565.3333333,205,435,,Masa de sedimentos (M1):,0.02673333333,gramos,,0.1637,0.1621,0.1626,--> M1
3,984,750,275.8267799,,,,#DIV/0!,175,365,,Concetraci贸n inicial:,486.0606061,mg/l,,0.1608,0.1588,0.1596,--> M2
4,984,1000,241.0703812,405,393,398,398.6666667,160,315,,,,,,,,,
5,972,1500,191.1209179,,,,#DIV/0!,127,252,,,,,,0.0261,0.0269,0.0272,--> M1-M0
6,972,2000,158.9673315,251,242,244,245.6666667,111,217,,Volumen inicial:, ~ 3 litros,,,0.0029,0.0033,3,--> M2-M1
7,972,2500,136.0745706,,,,#DIV/0!,99,184,,(bid贸n),,,,,,,
8,972,3000,118.9453447,180,172,173,175,86,156,,,,,,,,,
9,972,4000,95.02230674,,,,#DIV/0!,70,140,,,,,,,,,
10,972,5000,79.11100286,116,117,115,116,61,108,,,,,,,,,
11,0,5000,0,1.69,1.58,1.66,1.643333333,3,7,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,Pendiente,,,,,,,
26,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,
